Mice,TrialType,Trials,Ingress_Fit,Ingress_Mag,Tremble_Mag,Tremble_Dur,Ingress_onset,TrialType_Generic
PW18,CS-1,4,0.58682295431762,0,0.00519706666377585,0.01575,NaN,CS-
PW18,CS-1,5,0.980850387769264,0.0381817802802177,0.00224196337158556,0,0.408916666666667,CS-
PW18,CS-1,6,0.957048302500037,0.0265249139883591,0.00426242886184077,0,NaN,CS-
PW18,CS-1,7,0.772765193129519,0.0092522992045448,0.0164370165182213,0.14675,NaN,CS-
PW18,CS-1,8,0.498114283222128,0.00304033687567529,0.00577385329431774,0.056625,NaN,CS-
PW18,CS-1,9,0.573771255632174,0.00615663598118612,0.00373709061874655,0,0.61975,CS-
PW18,CS-1,10,0.654823414471733,0,0.00398047279839354,0,NaN,CS-
PW18,CS-2,1,0.977231455224552,0.0477821597180728,0.00730886841169707,0.051375,NaN,CS-
PW18,CS-2,2,0.967094868578258,0.035881058381929,0.00361940500426378,0.0831050228310502,0.45625,CS-
PW18,CS-2,3,0.973364555899021,0.0255703507281195,0.0030882099179827,0,NaN,CS-
PW18,CS-2,4,0.637911496652835,0.000257745618178355,0.0119863115384628,0.141625,NaN,CS-
PW18,CS-2,5,0.461136848688226,0.00401590330489244,0.00866657764691908,0.085625,NaN,CS-
PW18,CS-2,6,0.937209497635719,0.0284269072258964,0.0120172623169024,0.147875,NaN,CS-
PW18,CS-2,7,0.592805796742176,0.00394562437099415,0.00958170576063406,0.11025,NaN,CS-
PW18,CS-2,8,0.840426280703994,0.0130294773918212,0.00927733270421822,0.07775,NaN,CS-
PW18,CS-2,9,0.419217362140824,0,0.00788446094966654,0.07,NaN,CS-
PW18,CS-2,10,0.925676818462573,0,0.00457982776680236,0,NaN,CS-
PW19,CS-1,1,0.960636873965135,0.0177963544207921,0.00488980703220121,0,NaN,CS-
PW19,CS-1,2,0.997649448905151,1.40079656420648,0.0193813589198143,1.00170357751278,0.0489166666666667,CS-
PW19,CS-1,3,0.989239747144705,0.254400269946974,0.055777182260559,1.00104712041885,0.0795833333333333,CS-
PW19,CS-1,4,0.430930727424534,0,0.00195887900116842,0,NaN,CS-
PW19,CS-1,5,0.853587936422789,0.0164507569541945,0.00753612244452183,0.12025,NaN,CS-
PW19,CS-1,6,0.366433508953979,0.000418314471852457,0.00279526280158107,0,NaN,CS-
PW19,CS-1,7,0.915123778799179,0.0332299800668979,0.00270087662112789,0,0.598666666666667,CS-
PW19,CS-1,8,0.617144039562862,0.00819545489869142,0.00225065178280599,0,NaN,CS-
PW19,CS-1,9,0.497407717545795,0.0048484019968854,0.00171835861976131,0,NaN,CS-
PW19,CS-1,10,0.593497217509822,0.00579538040034385,0.00219724459642097,0,NaN,CS-
PW19,CS-2,1,0.995557699515928,0.82542931634492,0.202542055107321,1.0006798096533,0.122583333333333,CS-
PW19,CS-2,2,0.972167289014539,0.584946841335372,0.14242845564202,0.187365838699785,0.81525,CS-
PW19,CS-2,3,0.872709121937547,0.00454242552166177,0.00764888650208225,0.059875,NaN,CS-
PW19,CS-2,4,0.928390614715577,0.0405593676940106,0.0039843314036663,0,0.0686666666666667,CS-
PW19,CS-2,5,0.343377413377491,0.00134489695558445,0.00248594460228496,0,NaN,CS-
PW19,CS-2,6,0.108214966916794,0,0.00237354301985339,0,NaN,CS-
PW19,CS-2,7,0.857280013567444,0.0140340734152479,0.00179642230837373,0,NaN,CS-
PW19,CS-2,8,0.8495012291034,0.011455146678712,0.000883869154050471,0,NaN,CS-
PW19,CS-2,9,0.947097364014196,0.75711243125195,0.00426366016526857,0.118133762353482,0.725166666666667,CS-
PW19,CS-2,10,0.984859397728921,0.116446059135331,0.0224222678351369,0.275805570726379,0.45775,CS-
PW27,CS-1,1,0.969226146302086,0,0.0046735732924687,0,NaN,CS-
PW27,CS-1,2,0.933823142263099,0,0.00766175011112197,0.190625,NaN,CS-
PW27,CS-1,3,0.974315335977608,0,0.00252118384449969,0,NaN,CS-
PW27,CS-1,4,0.89446568137179,0.0903387332820778,0.0334741913644656,0.193140132061629,0.908666666666667,CS-
PW27,CS-1,5,0.984910890102597,0,0.00316206093594894,0,NaN,CS-
PW27,CS-1,6,NaN,0.289147753152129,NaN,NaN,0.619166666666667,CS-
PW27,CS-1,7,0.308750410111827,0,0.0556347471262714,0.631391968995586,0.774083333333333,CS-
PW27,CS-1,8,0.491303786266489,0.00380950702812482,0.146994630281135,0.327480457005412,0.692916666666667,CS-
PW27,CS-1,9,0.375174738062026,0,0.0384191554921114,1.00067796610169,0.122916666666667,CS-
PW27,CS-1,10,0.986753307882227,0,0.000558652764598193,0,NaN,CS-
PW27,CS-2,1,0.907822180397053,0,0.00447291360096561,0,NaN,CS-
PW27,CS-2,2,0.951564859027491,0,0.00760969824224165,0.811625,NaN,CS-
PW27,CS-2,3,0.872923748065412,0,0.00822788711521823,0.51825,NaN,CS-
PW27,CS-2,4,0.905488866571974,0.280663448251394,0.138393695165139,0.931434830230011,0.380416666666667,CS-
PW27,CS-2,5,0.985582710644265,0,0.00736714718916229,0.75675,NaN,CS-
PW27,CS-2,6,0.357116855085388,0.0299859044067247,0.00930925577139406,0.263175675675676,0.493333333333333,CS-
PW27,CS-2,7,0.721573765649073,0.151477099983566,0.202423492104507,0.679734219269103,0.501666666666667,CS-
PW27,CS-2,8,0.983713991816158,0,0.029043635283391,0.589625,NaN,CS-
PW27,CS-2,9,0.893321320006618,0.0781419655595824,0.0847719217602955,0.521402603494781,0.710583333333333,CS-
PW27,CS-2,10,0.899378177860885,0,0.0183638399937041,0.926875,NaN,CS-
PW29,CS-1,1,0.976915306888245,0.25579314506463,0.083053654313398,0.387341472087235,0.703083333333333,CS-
PW29,CS-1,2,NaN,0,NaN,NaN,0.7345,CS-
PW29,CS-1,3,0.45404124285736,0,0.0419202191587036,1.00030138637734,0.2765,CS-
PW29,CS-1,4,NaN,0,NaN,NaN,0.551583333333333,CS-
PW29,CS-1,5,0.870293707481127,0.0705159135586734,0.00832040710981159,0.215388446215139,0.669333333333333,CS-
PW29,CS-1,6,0.32354716859298,0,NaN,1.00220264317181,0.0378333333333333,CS-
PW29,CS-1,7,NaN,0,NaN,NaN,0.0429166666666667,CS-
PW29,CS-1,8,NaN,0,NaN,NaN,0.393666666666667,CS-
PW29,CS-1,9,NaN,0,NaN,NaN,0.0378333333333333,CS-
PW29,CS-1,10,0.252919725628718,0.0152422194085341,1.96379787684003,1.00018099547511,0.460416666666667,CS-
